gobject_id,timestamp_of_delete
6982,00000000000966FE
6983,0000000000096744
6984,0000000000096793
6986,000000000009681D
6987,0000000000096822
6981,0000000000096825
gobject_id,template_definition_id,derived_from_gobject_id,contained_by_gobject_id,area_gobject_id,hosted_by_gobject_id,checked_out_by_user_guid,default_symbol_gobject_id,default_display_gobject_id,checked_in_package_id,checked_out_package_id,deployed_package_id,last_deployed_package_id,tag_name,contained_name,identity_guid,configuration_guid,configuration_version,deployed_version,is_template,is_hidden,software_upgrade_needed,hosting_tree_level,hierarchical_name,namespace_id,deployment_pending_status
85,16,18,0,0,0,,0,0,86,0,0,0,ValueDisplayLabelEngUnits,,{307B5291-F4AA-452A-98E2-3E739FAB4135},{C5E9757D-CA58-45AB-A82B-2424EFA79401},5,0,0,0,0,4,ValueDisplayLabelEngUnits,3,0
86,16,18,0,0,0,,0,0,87,0,0,0,ValueInputLabelEngUnits,,{9CC6C9F0-3BA7-4BBE-82A3-55CD9587A74C},{5289C4F5-BBE9-4080-866A-D2215EAA9A46},6,0,0,0,0,4,ValueInputLabelEngUnits,3,0
87,16,18,0,0,0,,0,0,88,0,0,0,Keys,,{9A9C40E6-7CF7-4016-B00D-82DCB717F091},{1C97DBBB-D64E-432B-A636-26517C03B1AE},5,0,0,0,0,4,Keys,3,0
88,16,18,0,0,0,,0,0,89,0,0,0,FireBox,,{D308713D-93D9-4D9D-9BE8-F959B13C29BA},{BB3CA054-5CA1-4AF3-9A06-6AC780E66323},6,0,0,0,0,4,FireBox,3,0
89,16,18,0,0,0,,0,0,90,0,0,0,Screw2,,{37594B12-11F3-4D02-AB85-A30D8F263451},{108A762E-E886-4A49-9ED9-124D3D1C6665},5,0,0,0,0,4,Screw2,3,0
90,16,18,0,0,0,,0,0,91,0,0,0,Screw1,,{4B5E9415-263D-41C0-BD8A-20A99035CDAC},{92F2189D-A171-41F1-888B-E2AB1DF1D784},6,0,0,0,0,4,Screw1,3,0
91,16,18,0,0,0,,0,0,92,0,0,0,DIGraphic2,,{4FE02F06-DFBF-4ACF-8959-0AFD0847674C},{FF2BB5C5-0832-4662-A448-13AC21692B59},12,0,0,0,0,4,DIGraphic2,3,0
92,16,18,0,0,0,,0,0,93,0,0,0,DIGraphic1,,{15C2554F-623B-4851-93B2-E7F7F5AE732E},{1178940C-438A-41F9-B921-5302CB5C0374},11,0,0,0,0,4,DIGraphic1,3,0
93,16,18,0,0,0,,0,0,94,0,0,0,PC2,,{B34D3CEF-199F-40F9-AC32-AE96412201B8},{08ACB079-262A-46CE-8317-7FD80924E73C},11,0,0,0,0,4,PC2,3,0
94,16,18,0,0,0,,0,0,95,0,0,0,PC1,,{FFB69261-D9CE-49FE-A87E-00A5E893E73B},{B65344A2-8708-40A3-A751-EA948976A938},11,0,0,0,0,4,PC1,3,0
95,16,18,0,0,0,,0,0,96,0,0,0,BellDisabled,,{2027DA5D-BCCF-44DB-B99E-2848B61C8BDC},{D58FA418-C896-43FD-941D-196A6C712ABE},4,0,0,0,0,4,BellDisabled,3,0
96,16,18,0,0,0,,0,0,97,0,0,0,BellEnabled,,{E0D701B4-A978-4A8F-B8A0-C8890627187A},{72A20A75-9C0C-40B6-A817-9D6664FCBEE4},4,0,0,0,0,4,BellEnabled,3,0
97,16,18,0,0,0,,0,0,98,0,0,0,FlammableSign,,{40D1BD55-9E8C-4874-8AE0-E8244835E02F},{0BC80FEA-B68B-45AB-87D7-356C7EA80A24},3,0,0,0,0,4,FlammableSign,3,0
98,16,18,0,0,0,,0,0,99,0,0,0,RadiationSign,,{82476BD2-0F4C-491C-A1B3-F36736106ED8},{EB6D16E2-1CD5-4B6C-9B1F-49E05535B44A},3,0,0,0,0,4,RadiationSign,3,0
99,16,18,0,0,0,,0,0,100,0,0,0,SkullCrossbonesSign,,{3B9A206F-A574-42C2-BA8B-0E0B492B869C},{CE38F0F8-EC4A-4925-88FC-50825EAEEC80},5,0,0,0,0,4,SkullCrossbonesSign,3,0
100,16,18,0,0,0,,0,0,101,0,0,0,LightningBoltSign,,{7C5C90D7-D197-4C38-A9AC-E2DF246C1066},{302D31EC-6108-4F4E-A007-205677A4EB7D},3,0,0,0,0,4,LightningBoltSign,3,0
101,16,18,0,0,0,,0,0,102,0,0,0,BioHazardSign,,{060718DC-CC73-4C0B-B8A1-47873ECE7EBE},{A645F0A8-895E-49E4-8126-3C428C839F10},6,0,0,0,0,4,BioHazardSign,3,0
102,16,18,0,0,0,,0,0,103,0,0,0,ExclamationMarkSign,,{7BBC92E2-0B61-44FC-BB4C-1D366DD6254F},{4C8FB078-FB07-4954-A134-7415674BFE5D},5,0,0,0,0,4,ExclamationMarkSign,3,0
103,16,18,0,0,0,,0,0,104,0,0,0,ValueDisplayLabelEngUnitsStacked,,{234981DC-1FEC-49EC-B531-AADEE744E8CA},{F6AC8EBC-3A6F-419F-A7FD-8B80579BC8F4},5,0,0,0,0,4,ValueDisplayLabelEngUnitsStacked,3,0
104,16,18,0,0,0,,0,0,105,0,0,0,WarningLightRadiation,,{1BAAF388-1295-4241-8125-4CAD08B99DCE},{1F6F5328-F591-4B48-9057-CD0B0012275B},10,0,0,0,0,4,WarningLightRadiation,3,0
105,16,18,0,0,0,,0,0,106,0,0,0,WarningLightPoison,,{516F9359-5212-4CB2-9209-78CFA2CC3AA5},{676D279C-CA5B-4595-A06A-1D5F67A02A77},10,0,0,0,0,4,WarningLightPoison,3,0
106,16,18,0,0,0,,0,0,107,0,0,0,WarningLightFlammable,,{AB58D172-2EEB-4411-AEEA-C5FA0D7E51F1},{5BA38212-B944-4158-ABEF-7C1510D7C63F},6,0,0,0,0,4,WarningLightFlammable,3,0
107,16,18,0,0,0,,0,0,108,0,0,0,WarningLightElectricity,,{27556514-9CED-4452-9AC4-32BDF27471A0},{DA38F491-D110-4F4E-9FE6-35458DD5C18A},8,0,0,0,0,4,WarningLightElectricity,3,0
108,16,18,0,0,0,,0,0,109,0,0,0,WarningLightBioHazard,,{CB4AC3A2-9AD7-49A9-A304-12173F3E0E22},{559004EC-B83A-4EE1-AE00-0E9DD06354C3},13,0,0,0,0,4,WarningLightBioHazard,3,0
109,16,18,0,0,0,,0,0,110,0,0,0,WarningLight,,{11B00CED-4909-4EAE-960C-9C3F4B9AB212},{663F373A-0CB7-406D-BA5B-DDE49136A149},12,0,0,0,0,4,WarningLight,3,0
110,16,18,0,0,0,,0,0,111,0,0,0,ValveSteamActuator,,{E138A891-3154-47A1-8CB7-6C9F3CA4FBE8},{5E00129B-1323-4C33-88F3-54F12D1CCFD0},42,0,0,0,0,4,ValveSteamActuator,3,0
